"고유번호","일련번호","도시계획사항 코드","도시계획사항 명칭","결정조서 일련번호","고시 일련번호","라벨","고시일자","위도","경도"
"5055","제1종일반주거지역_00706","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5307874","126.867363"
"5057","제2종일반주거지역_729","UQA122","제2종일반주거지역","UQA12220090114837","58012526","제2종일반주거지역"," ","37.5773622","126.9192135"
"5060","제2종일반주거지역_00966","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5123756","126.9157483"
"5063","제2종일반주거지역_01062","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.4726607","126.9656973"
"5064","제2종일반주거지역_01278","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5004399","127.1252292"
"5068","제2종일반주거지역(7층이하)_UQA12420131119855","UQA124","제2종일반주거지역(7층이하)","UQA12420131119855","58032136","제2종일반주거지역(7층이하)","20130208","37.5998906","126.9445754"
"5069","제2종일반주거지역_00558","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.6031485","126.9139936"
"5072","제1종일반주거지역_UQA12120141103400","UQA121","제1종일반주거지역","UQA12120141103400","58033815","제1종일반주거지역","20131212","37.5427624","127.1300981"
"5076","제1종일반주거지역_01258","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5164309","127.0561175"
"5077","제1종일반주거지역_00525","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.6239187","126.916607"
"5168","제2종일반주거지역(7층이하)_00710","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5599555","126.8507748"
"5169","제2종일반주거지역_01350","UQA122","제2종일반주거지역"," "," ","제2종일반주거지역"," ","37.5629803","127.0201505"
"5170","제3종일반주거지역_00024","UQA123","제3종일반주거지역"," "," ","제3종일반주거지역"," ","37.5446795","127.1421476"
"5171","준주거지역_UQA13020121115219","UQA130","준주거지역","UQA13020121115219","58030122","준주거지역"," ","37.560129","127.0337646"
"5172","제1종일반주거지역_01267","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.4877593","127.0967228"
"5175","제1종일반주거지역_01246","UQA121","제1종일반주거지역"," "," ","제1종일반주거지역"," ","37.5014222","127.0304342"
"5133","제2종일반주거지역(7층이하)_00943","UQA124","제2종일반주거지역(7층이하)"," "," ","제2종일반주거지역(7층이하)"," ","37.5085453","127.0280168"
"5134","제2종일반주거지역_UQA12220120322680","UQA122","제2종일반주거지역","UQA12220120322680","58028688","제2종일반주거지역(12층이하)","20081009","37.5466772","126.9255214"
"5135","제2종일반주거지역_UQA12220121114211","UQA122","제2종일반주거지역","UQA12220121114211","58030105","제2종일반주거지역(12층)","20120726","37.6140782","126.9306644"
